Siruta,Locality,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
42236,VISTEA,342687,1343503,994022,498000,10875,1417653,1100345,178561,1087322,9288,797607,0,475065
42307,VOILA,548842,1205274,1439468,605250,270667,2076176,1779460,140104,1751325,36755,1069399,0,649774
42398,VULCAN,564018,1964040,2440304,704000,51413,3301925,1682243,244036,1326814,381659,2053136,34230,215542
42682,Municipiul Braila,82600000,2327416,131000000,2426000,3874753,124000000,45500000,21800000,28200000,7246451,119000000,4011255,16000000
42753,FAUREI,1466061,137000,3143182,235000,11800000,3705922,1490067,361116,2321821,170196,2934990,374978,236942
43331,IANCA,3154197,1548000,7209010,1811000,9730417,8124177,3683482,541580,4431631,300166,6407489,250470,1102727
43411,INSURATEI,1231174,1255000,5343638,1477000,6932304,6108992,1947663,617300,1620016,372294,5302059,80043,369431
42824,BARAGANU,441376,706000,2038066,809000,2877909,2479399,680994,329923,1001592,51744,1705322,250211,557546
42842,BERTESTII DE JOS,143511,792000,1580398,901000,34705,1801625,724486,402574,1921540,30295,1359754,22191,496782
42913,BORDEI VERDE,219073,647000,1505223,742000,1907414,1830346,768111,262699,1030627,102230,1509453,29795,67569
42968,CIOCILE,176523,651000,1726875,758000,9360716,1898863,509512,508995,726954,205222,1347558,38913,71181
43019,CIRESU,467447,969000,1899274,992000,2700054,2144704,840174,413669,833279,37381,1610358,26064,218597
43073,DUDESTI,363859,866000,1701081,995000,4193143,2267612,1111249,226495,1194173,257950,1703080,0,735344
43117,FRECATEI,402827,440000,817510,529000,3404580,1360768,832152,75203,1304108,349038,866192,0,774130
43180,GALBENU,166185,740000,2198048,871000,6052226,2672805,984442,383527,1070397,44524,1973494,44150,83187
43242,GEMENELE,104864,446000,969444,535000,3758307,1319256,619982,166120,739926,90166,1247886,43098,346221
43279,GRADISTEA,122323,552000,1687893,649000,1277509,1860400,740063,538174,820353,62007,1937043,74055,43927
43313,GROPENI,351201,554000,1677712,658000,36013,1940881,876190,408576,1036152,38168,1370131,0,363493
42708,CHISCANI,2516678,303000,1860564,373000,16485,2325348,1117175,517492,1087170,328700,1842040,0,732251
42771,SURDILA GRECI,285437,356000,968884,432000,6938963,1404290,700294,157815,876478,28769,802754,0,260572
43466,JIRLAU,178283,914000,1722755,988000,53805,2162686,738307,320426,1262100,148120,1344474,12287,98276
